"Mérési idő","Energy (Wh)"
" 01.2021","0"
" 02.2021","0"
" 03.2021","85"
" 04.2021","0"
" 05.2021","0"
" 06.2021","0"
" 07.2021","0"
" 08.2021","0"
" 09.2021","7261"
" 10.2021","0"
" 11.2021","215545"
" 12.2021","0"
" 01.2022","394035"
" 02.2022","788231"
" 03.2022","1330247"
" 04.2022","1423637"
" 05.2022","1852168"
" 06.2022","2268848"
" 07.2022","2125147"
" 08.2022","1602174"
" 09.2022","1112172"
" 10.2022","956720"
" 11.2022","8429"
" 12.2022","352651"
" 01.2023","446066"
" 02.2023","746363"
" 03.2023","1151200"
" 04.2023","1343290"
" 05.2023","1603710"
" 06.2023","1953845"
" 07.2023","2042586"
" 08.2023","1590621"
" 09.2023","1273084"
" 10.2023","927032"
" 11.2023","562562"
" 12.2023","440581"
" 01.2024","547531"
" 02.2024","745725"
" 03.2024","1157342"
" 04.2024","1550477"
" 05.2024","1863751"
" 06.2024","1977480"
" 07.2024","2080837"
" 08.2024","1730855"
" 09.2024","1053000"
" 10.2024","901352"
" 11.2024","495631"
" 12.2024","369078"
" 01.2025","434104"
" 02.2025","683752"
" 03.2025","1021393"
" 04.2025","1388749"
" 05.2025","1720802"
" 06.2025","2237558"
" 07.2025","1922601"
" 08.2025","1663918"
" 09.2025","1127719"
" 10.2025","858954"
" 11.2025","475789"
" 12.2025","294559"
" 01.2026","42314"
" 02.2026","0"
" 03.2026","0"
" 04.2026","0"
" 05.2026","0"
" 06.2026","0"
" 07.2026","0"
" 08.2026","0"
" 09.2026","0"
" 10.2026","0"
" 11.2026","0"
" 12.2026","0"